UCI FJX v7.3d = 7.3c + new integ of O3&Q1D over wavelength (2/2016)
NEW FMT: Jshort(a6)|Jlong(a16)|Notes, including q's. T or p at begin of block
   18 NWWW   27 NSSS 18 J-bins, reads J's (1-3 Xsect blks interp T or 'p'(until 'endofJ')
w-eff |wavelength (nm) | SPhot wtd, FJ#18 cuts at 778nm
          187.      191.      193.      196.      202.      208.
          211.      214.      261.      267.      277.      295.
          303.      310.      316.      333.      383.      599.
SPhot |solar #/cm2/s   | SUSIM average 11Nov94(low) + 29Mar92(med-high)
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 1.972E-18 1.939E-18 1.687E-18 1.300E-18 9.278E-19 6.267E-19
 298c 3.367E-19 2.551E-19 2.597E-19 3.392E-19 8.960E-20 0.000E+00
IONO2 | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 1.654E-18 1.264E-18 1.230E-18 1.221E-18
 298c 1.063E-18 9.727E-19 9.006E-19 7.886E-19 3.599E-19 4.792E-22
I2O2  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298c 0.000E+00 1.021E-17 1.213E-17 3.432E-18 8.350E-19 4.575E-20
I2O3  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.361E-19
 298c 3.989E-18 3.370E-18 3.099E-18 2.357E-18 9.867E-19 4.855E-20
ICl   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 8.147E-20 1.297E-19 3.256E-19 1.617E-19 8.155E-20 4.926E-20
 298c 2.175E-20 1.975E-21 0.000E+00 0.000E+00 1.185E-19 1.029E-19
IBr   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 2.018E-19 1.777E-19 1.578E-19 1.477E-19
 298c 1.097E-19 8.050E-20 6.293E-20 3.124E-20 8.039E-20 3.410E-19
MENO3 | 
 240a 1.365E-17 1.625E-17 1.563E-17 1.409E-17 9.414E-18 4.528E-18 
 240b 3.600E-18 1.643E-18 2.692E-20 5.747E-20 8.569E-20 4.682E-21
 240c 2.003E-21 8.501E-22 3.483E-22 3.738E-23 0.000E+00 0.000E+00
MENO3 | 
 298a 1.365E-17 1.625E-17 1.563E-17 1.409E-17 9.414E-18 4.528E-18 
 298b 3.600E-18 1.643E-18 3.176E-20 5.981E-20 8.747E-20 6.044E-21
 298c 2.712E-21 1.223E-21 5.386E-22 6.576E-23 0.000E+00 0.000E+00
ETNO3 | 
 240a 1.667E-17 1.602E-17 1.513E-17 1.389E-17 9.456E-18 4.923E-18 
 240b 4.000E-18 2.127E-18 3.470E-20 7.726E-20 1.134E-19 6.854E-21
 240c 3.033E-21 1.299E-21 5.169E-22 6.655E-23 0.000E+00 0.000E+00
ETNO3 | 
 298a 1.667E-17 1.602E-17 1.513E-17 1.389E-17 9.456E-18 4.923E-18 
 298b 4.000E-18 2.127E-18 4.065E-20 8.057E-20 1.159E-19 8.938E-21
 298c 4.157E-21 1.914E-21 8.239E-22 1.246E-22 0.000E+00 0.000E+00
IPRNO3| 
 240a 1.610E-17 1.702E-17 1.619E-17 1.508E-17 1.070E-17 5.987E-18 
 240b 4.980E-18 2.650E-18 4.545E-20 1.059E-19 1.503E-19 9.440E-21
 240c 4.364E-21 1.959E-21 8.569E-22 1.177E-22 1.212E-24 0.000E+00
IPRNO3| 
 298a 1.610E-17 1.702E-17 1.619E-17 1.508E-17 1.070E-17 5.987E-18 
 298b 4.980E-18 2.650E-18 5.230E-20 1.101E-19 1.537E-19 1.242E-20
 298c 6.091E-21 2.921E-21 1.392E-21 2.235E-22 1.212E-24 0.000E+00
NPRNO3| 
 298a 1.767E-17 1.703E-17 1.617E-17 1.501E-17 1.063E-17 5.889E-18 
 298b 4.890E-18 2.622E-18 4.401E-20 8.938E-20 1.372E-19 9.851E-21
 298c 4.296E-21 1.915E-21 8.314E-22 2.135E-22 0.000E+00 0.000E+00
BALD  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.780E-19
 298c 6.600E-20 7.200E-20 9.200E-20 8.500E-20 0.000E+00 0.000E+00
MCM15 |
 298a 0.000E+00 0.000E+00 5.061E-25 0.000E+00 3.256E-23 8.426E-23
 298b 1.083E-22 1.299E-22 5.671E-21 9.337E-21 1.117E-20 1.238E-20
 298c 1.091E-20 8.578E-21 6.361E-21 1.678E-21 4.789E-24 0.000E+00
MCM17 |
 298a 0.000E+00 0.000E+00 3.899E-23 0.000E+00 1.212E-21 1.032E-21 
 298b 6.488E-22 4.983E-22 7.457E-21 1.676E-20 3.516E-20 5.083E-20 
 298c 5.048E-20 4.402E-20 3.401E-20 8.302E-21 1.492E-23 0.000E+00
endofJ
------must have 'endofJ' to closeout the readin

Notes:
rev 7.3d (2/2016) fixes to NO2, O3, and O3(1d) to guarantee consistency and
     traceability to JPL 2010 tables.

rev 7.3c (8/2015 = final version for Cloud-J v7.3c)
     new integrated solar fluxes and weighted X-sections for Rayleigh (only)
     in preparation for the 27 super-bins of Solar-J
     this should still reproduce Cloud-J v7.3 to <1%.
     not released ver 7.3b (6/2015)
     last FJ bin#18 cut at 778 nm to match RRTM, scaled Xsects by 2.131/1.805
     should be almost identical to results from 7.3

rev 7.3 (6/2014)
     initial dataset for Cloud-J v7.3 GMDD paper, revised for GMD paper to 7.3c
     needs v 7.2a code or later (Cloud-J)
     reformatted for unlimited read in (check dimension in read)
     long-name(A16) added to short-name(a6) plus notes
     each record is uniquly identified

rev 6.8d (6/2014)
    Acetaldehyde (CH3CHO) fixed to account for Stern-Volmer q-yields (IUPAC P2 2013)

rev 6.8c (3/2013)
    Acetone major fixes - mistake with q-yields.
        NEW J-Acet-a (CH3O) is 3x (0km) to 5x (5km) faster than ver 6.8b
        NEW J-Acet-b (CO)   is 0.60x slower
        NEW in lower trop:  J-b / J-a = 0.28 (0km) to 0.18 (4km)

rev 6.8b (3/2012)
     Small fixes to correct short-w extrap.
     JPL 2010 rev 3/2012 VOC updates and change in Stern-Volmer method
        T is used to get p (or M) from the mean trop lapse rate
        thus VOCs are restricted to trop for accurate J's.
     Q-yields caclulated from Stern-Volmer relation at 3 tropospheric points.
        alt=   0 km      5 km      13 km
        M=   2.46E+19   1.50E+19   5.8E+18
        T=     295K      272K       220K
        p =    999 hPa   566 hPa    177 hPa
     X-sections can be interpolated as fn(T) or as fn(p) -
       thus each X-section block is identified by nnn(K) or pnnn(hPa)

==============================VOCs================================

PAN    = Peroxyacetyl nitrate = CH3C(O)COONO2
               CH3C(O)O2 + NO2   0.70   (Q fixed)
               CH3C(O)O + NO3    0.30

CH3NO3 = Methyl nitrate = CH3ONO2
               CH3O + NO2

ActAld = Acetaldehyde = CH3CHO      (IUPAC)
         Q-yield based on tables at 1 bar, only w > 300 nm
               CH4+CO     (1)  0.00    (Q fixed)
               CH3+HCO    (2)  0.88
               H+CH3CO    (3)  0.12

MeVK   = Methylvinyl ketone = CH3C(O)CH=CH2
         Q-yield = exp[-0.055*(w-308)]/5.5+9.2e-19*[M])
               C3H6+CO         0.60     (Q fixed)
               CH2CHCO+CH3     0.20
               CH3CO + C2H3    0.20

MeAcr  = Methacrolein CH2C(CH3)CHO
               CH2=C(CH3)+HCO  (recommended, uses q=0.003 everywhere)

GlyAld = Glycol aldehyde = HOCH2CHO
               CH2OH + HCO  (1)  0.83   (Q fixed)
               CH3OH + CO   (2)  0.10
               OH + CH2CHO  (3)  0.07

MEKeto = Methylethyl ketone = CH3COC2H5     (IUPAC)
               C2H5+CH3CO    0.85        (Q fixed)
               CH3+C2H5CO    0.15

PrAld  = Propionaldehyde (or propanal) = C2H5CHO
               C2H5 + HCO

MGlyxl = Methyl glyoxal = CH3COC(O)H
               CH3CO + HCO

Glyxl  = Glyoxal (CHO)2 or CHOCHO
               Glyxla   => HCO + HCO  (1) (Q by Xsects)
               Glyxlb   => H2 + 2 CO  (2)
               Glyxlc   => HCHO + CO  (3)

C3H6O = Acet = Acetone = CH3C(O)CH3
               Acet-a   => CH3CO+CH3     (Q by Xsects)
               Acet-b   => CH3+CH3+CO

===========================================================================

-------------------------other notes---------------------------------------
Solar fluxes from SUSIM:
11Nov1994 low solar
SOL#/cm2/s 1.360E+12 1.591E+12 1.629E+12 9.085E+11 7.674E+12 4.588E+12
           9.826E+12 1.209E+13 6.357E+14 4.040E+14 3.152E+14 5.897E+14
           7.705E+14 5.054E+14 8.934E+14 3.857E+15 1.544E+16 2.131E+17

std fast-JX = average of the two
SOL#/cm2/s 1.391E+12 1.627E+12 1.664E+12 9.278E+11 7.842E+12 4.680E+12
           9.918E+12 1.219E+13 6.364E+14 4.049E+14 3.150E+14 5.889E+14
           7.678E+14 5.045E+14 8.902E+14 3.853E+15 1.547E+16 2.131E+17

29Mar1992 med-high solar
SOL#/cm2/s 1.423E+12 1.662E+12 1.699E+12 9.468E+11 8.007E+12 4.771E+12
           1.001E+13 1.229E+13 6.370E+14 4.055E+14 3.148E+14 5.880E+14
           7.652E+14 5.034E+14 8.869E+14 3.849E+15 1.550E+16 2.131E+17

---------------------------------------------------------------------------
NO3 Xsections from JPL-2010:
   NO3a => NO2+O      (405 - 640 nm)  J_TOA = 0.2075 (190K)  0.1648 (298K)
   NO3b => NO+O2      (586 - 640 nm)  J_TOA = 0.0295 (190K)  0.0209 (298K)
     ratio = b/(a+b) = 0.1245 (190K)  0.1124 (298K)
recommend fixed Q-yield NO3b = 0.118,  NO3a = 0.882

NO3t 190   0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.296E-21 1.112E-18
NO3t 298   0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.796E-21 8.713E-19

NO3a   190 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.296E-21 9.736E-19
NO3a   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.796E-21 7.733E-19

NO3b   190 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.385E-19
NO3b   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.797E-20

---------------------------------------------------------------------------
